"","release","theaters","total_gross","release_date"
"1","Avengers: Endgame","4,662","$858,373,000","Apr 26"
"2","The Lion King","4,802","$543,638,043","Jul 19"
"3","Star Wars: Episode IX - The Rise of Skywalker","4,406","$515,202,542","Dec 20"
"4","Frozen II","4,440","$477,373,578","Nov 22"
"5","Toy Story 4","4,575","$434,038,008","Jun 21"
"6","Captain Marvel","4,310","$426,829,839","Mar 8"
"7","Spider-Man: Far from Home","4,634","$390,532,085","Jul 2"
"8","Aladdin","4,476","$355,559,216","May 24"
"9","Joker","4,374","$335,451,311","Oct 4"
"10","Aquaman","4,184","$335,061,807","Dec 21"
"11","Jumanji: The Next Level","4,227","$320,314,960","Dec 13"
"12","The Grinch","4,141","$271,478,510","Nov 9"
"13","Bohemian Rhapsody","4,000","$216,428,042","Nov 2"
"14","A Star Is Born","3,904","$215,288,866","Oct 5"
"15","Venom","4,250","$213,515,506","Oct 5"
"16","It Chapter Two","4,570","$211,593,228","Sep 6"
"17","Ralph Breaks the Internet","4,017","$201,091,711","Nov 21"
"18","Spider-Man: Into the Spider-Verse","3,813","$190,241,310","Dec 14"
"19","Us","3,743","$175,084,580","Mar 22"
"20","Crazy Rich Asians","3,865","$174,532,921","Aug 15"
"21","Fast & Furious Presents: Hobbs & Shaw","4,344","$173,956,935","Aug 2"
"22","Mary Poppins Returns","4,090","$171,958,438","Dec 19"
"23","John Wick: Chapter 3 - Parabellum","3,850","$171,015,687","May 17"
"24","Knives Out","3,461","$165,363,234","Nov 27"
"25","How to Train Your Dragon: The Hidden World","4,286","$160,799,505","Feb 22"
"26","Fantastic Beasts: The Crimes of Grindelwald","4,163","$159,555,901","Nov 16"
"27","Halloween","3,990","$159,342,015","Oct 19"
"28","1917","3,987","$159,227,644","Dec 25"
"29","The Secret Life of Pets 2","4,564","$158,980,250","Jun 7"
"30","Pokémon: Detective Pikachu","4,248","$144,105,346","May 10"
"31","Once Upon a Time... in Hollywood","3,659","$142,502,728","Jul 26"
"32","Shazam!","4,306","$140,371,656","Apr 5"
"33","Bumblebee","3,597","$127,195,589","Dec 21"
"34","Ford v Ferrari","3,746","$117,624,357","Nov 15"
"35","Creed II","3,752","$115,715,889","Nov 21"
"36","Dumbo","4,259","$114,766,307","Mar 29"
"37","Maleficent: Mistress of Evil","3,820","$113,929,605","Oct 18"
"38","Glass","3,844","$111,048,468","Jan 18"
"39","Godzilla: King of the Monsters","4,108","$110,500,138","May 31"
"40","The Upside","3,568","$108,252,517","Jan 11"
"41","Little Women","3,308","$108,101,214","Dec 25"
"42","The Lego Movie 2: The Second Part","4,303","$105,806,508","Feb 8"
"43","Hustlers","3,525","$104,963,598","Sep 13"
"44","The Mule","3,329","$103,804,407","Dec 14"
"45","The Addams Family","4,107","$100,044,905","Oct 11"
"46","Downton Abbey","3,548","$96,853,865","Sep 20"
"47","Rocketman","3,610","$96,368,160","May 31"
"48","Space Station 3D","64","$93,383,953","Apr 19"
"49","Alita: Battle Angel","3,802","$85,838,210","Feb 14"
"50","Green Book","2,648","$85,080,171","Nov 16"
"51","Smallfoot","4,131","$83,240,103","Sep 28"
"52","Good Boys","3,458","$83,140,306","Aug 16"
"53","Men in Black: International","4,224","$80,001,807","Jun 14"
"54","Night School","3,019","$77,339,130","Sep 28"
"55","Annabelle Comes Home","3,613","$74,152,591","Jun 26"
"56","Yesterday","2,755","$73,286,650","Jun 28"
"57","A Madea Family Funeral","2,442","$73,257,045","Mar 1"
"58","Zombieland: Double Tap","3,468","$73,123,082","Oct 18"
"59","Angel Has Fallen","3,336","$69,030,436","Aug 23"
"60","Scary Stories to Tell in the Dark","3,135","$68,947,075","Aug 9"
"61","The House with a Clock in Its Walls","3,592","$68,549,695","Sep 21"
"62","Instant Family","3,426","$67,363,237","Nov 16"
"63","Spies in Disguise","3,502","$66,757,013","Dec 25"
"64","Dark Phoenix","3,721","$65,845,974","Jun 7"
"65","Terminator: Dark Fate","4,086","$62,253,077","Nov 1"
"66","A Beautiful Day in the Neighborhood","3,491","$61,704,055","Nov 22"
"67","Abominable","4,248","$60,716,390","Sep 27"
"68","Dora and the Lost City of Gold","3,735","$60,477,943","Aug 9"
"69","Escape Room","2,717","$57,005,601","Jan 4"
"70","Midway","3,242","$56,846,802","Nov 8"
"71","The Nutcracker and the Four Realms","3,766","$54,858,851","Nov 2"
"72","The Curse of La Llorona","3,372","$54,733,739","Apr 19"
"73","Pet Sematary","3,585","$54,724,696","Apr 5"
"74","What Men Want","2,912","$54,611,903","Feb 8"
"75","Parasite","2,001","$53,369,749","Oct 11"
"76","Hubble","151","$52,522,904","Mar 19"
"77","Ad Astra","3,460","$50,188,370","Sep 20"
"78","Uncut Gems","2,686","$50,023,780","Dec 13"
"79","BlacKkKlansman","1,914","$49,275,340","Aug 10"
"80","Isn't It Romantic","3,444","$48,791,187","Feb 13"
"81","Gemini Man","3,642","$48,546,770","Oct 11"
"82","Vice","2,534","$47,836,282","Dec 25"
"83","Deep Sea","47","$46,412,757","Mar 3"
"84","Ma","2,816","$45,896,028","May 31"
"85","Five Feet Apart","2,866","$45,729,221","Mar 15"
"86","Wonder Park","3,838","$45,216,793","Mar 15"
"87","First Man","3,640","$44,936,545","Oct 12"
"88","Rambo: Last Blood","3,618","$44,819,352","Sep 20"
"89","Playing with Fire","3,185","$44,451,847","Nov 8"
"90","Queen & Slim","1,715","$43,808,310","Nov 27"
"91","Harriet","2,186","$43,082,155","Nov 1"
"92","Widows","2,803","$42,402,632","Nov 16"
"93","A Dog's Way Home","3,090","$42,004,346","Jan 11"
"94","The Angry Birds Movie 2","3,869","$41,667,116","Aug 13"
"95","Little","2,667","$40,860,481","Apr 12"
"96","Breakthrough","2,913","$40,713,082","Apr 17"
"97","Second Act","2,607","$39,282,227","Dec 21"
"98","Crawl","3,170","$39,014,193","Jul 12"
"99","Under the Sea 3D","108","$36,262,926","Feb 13"
"100","Just Mercy","2,457","$36,001,502","Dec 25"
"101","The Intruder","2,231","$35,419,122","May 3"
"102","The Hustle","3,077","$35,417,038","May 10"
"103","Last Christmas","3,454","$35,150,750","Nov 8"
"104","Overcomer","2,293","$34,746,945","Aug 23"
"105","The Favourite","1,554","$34,366,783","Nov 23"
"106","Jojo Rabbit","1,173","$33,370,906","Oct 18"
"107","Cold Pursuit","2,630","$32,138,862","Feb 8"
"108","Bombshell","1,721","$31,762,808","Dec 13"
"109","Doctor Sleep","3,855","$31,581,712","Nov 8"
"110","Robin Hood","2,827","$30,824,628","Nov 21"
"111","Dragon Ball Super: Broly","1,267","$30,712,119","Jan 16"
"112","Holmes & Watson","2,780","$30,573,626","Dec 25"
"113","Long Shot","3,230","$30,316,271","May 3"
"114","The Hate U Give","2,375","$29,719,483","Oct 5"
"115","Child's Play","3,007","$29,208,403","Jun 21"
"116","Ready or Not","2,998","$28,714,231","Aug 21"
"117","21 Bridges","2,665","$28,539,757","Nov 22"
"118","Happy Death Day 2U","3,212","$28,148,130","Feb 13"
"119","Midsommar","2,707","$27,426,361","Jul 3"
"120","Cats","3,380","$27,166,770","Dec 20"
"121","The Art of Racing in the Rain","2,765","$26,395,642","Aug 9"
"122","Born to Be Wild","208","$25,978,556","Apr 8"
"123","Countdown","2,675","$25,621,766","Oct 25"
"124","On the Basis of Sex","1,957","$24,622,687","Dec 25"
"125","Judy","1,627","$24,313,888","Sep 27"
"126","Fighting with My Family","2,855","$22,958,886","Feb 14"
"127","A Dog's Journey","3,279","$22,782,371","May 17"
"128","Booksmart","2,518","$22,680,962","May 24"
"129","Stuber","3,050","$22,370,452","Jul 12"
"130","Richard Jewell","2,502","$22,345,542","Dec 13"
"131","47 Meters Down: Uncaged","2,883","$22,260,900","Aug 16"
"132","Black and Blue","2,062","$22,055,313","Oct 25"
"133","Hellboy","3,303","$21,903,748","Apr 12"
"134","Shaft","2,952","$21,360,215","Jun 14"
"135","The Peanut Butter Falcon","1,490","$20,457,151","Aug 9"
"136","UglyDolls","3,652","$20,150,241","May 3"
"137","Unplanned","1,516","$19,005,109","Mar 29"
"138","Galapagos","14","$18,630,372","Oct 29"
"139","They Shall Not Grow Old","1,335","$17,956,913","Dec 17"
"140","Charlie's Angels","3,452","$17,803,077","Nov 15"
"141","The Farewell","891","$17,695,781","Jul 12"
"142","Free Solo","483","$17,541,090","Sep 28"
"143","Brightburn","2,607","$17,300,439","May 24"
"144","The Good Liar","2,454","$17,156,058","Nov 15"
"145","The Kid Who Would Be King","3,528","$16,790,790","Jan 25"
"146","Missing Link","3,437","$16,649,539","Apr 12"
"147","Mary Queen of Scots","1,052","$16,468,499","Dec 7"
"148","Mortal Engines","3,103","$15,951,040","Dec 14"
"149","A Beautiful Planet","155","$15,650,615","Apr 29"
"150","Late Night","2,220","$15,499,454","Jun 7"
"151","Miss Bala","2,203","$15,006,824","Feb 1"
"152","If Beale Street Could Talk","1,018","$14,915,773","Dec 14"
"153","The Prodigy","2,530","$14,856,291","Feb 8"
"154","The Possession of Hannah Grace","2,298","$14,837,422","Nov 30"
"155","To the Arctic 3D","52","$14,560,838","Apr 20"
"156","Poms","2,750","$13,631,124","May 10"
"157","The Kitchen","2,745","$12,180,032","Aug 9"
"158","After","2,138","$12,138,565","Apr 12"
"159","Blinded by the Light","2,307","$11,901,145","Aug 16"
"160","The Old Man & the Gun","1,042","$11,277,120","Sep 28"
"161","Island of Lemurs: Madagascar","302","$11,272,213","Apr 4"
"162","Dark Waters","2,112","$11,136,084","Nov 22"
"163","The Lighthouse","978","$10,867,104","Oct 18"
"164","Welcome to Marwen","1,911","$10,763,520","Dec 21"
"165","Greta","2,417","$10,532,219","Mar 1"
"166","Black Christmas","2,625","$10,429,730","Dec 13"
"167","The Best of Enemies","1,705","$10,205,616","Apr 5"
"168","Hotel Mumbai","930","$9,651,611","Mar 22"
"169","The Wife","541","$9,601,092","Aug 17"
"170","Motherless Brooklyn","1,342","$9,277,736","Nov 1"
"171","No Manches Frida 2","472","$9,270,920","Mar 15"
"172","Where'd You Go, Bernadette","2,404","$9,198,356","Aug 16"
"173","Apollo 11","588","$9,039,891","Mar 1"
"174","Can You Ever Forgive Me?","555","$8,803,865","Oct 19"
"175","Serenity","2,561","$8,547,045","Jan 25"
"176","Anna","2,114","$7,743,794","Jun 21"
"177","Penguins","1,815","$7,699,452","Apr 17"
"178","Journey to the South Pacific","19","$7,653,913","Nov 27"
"179","Beautiful Boy","776","$7,649,973","Oct 12"
"180","Pandas","35","$7,574,012","Apr 6"
"181","Brittany Runs a Marathon","1,033","$7,189,808","Aug 23"
"182","Boy Erased","672","$6,788,692","Nov 2"
"183","The Dead Don't Die","690","$6,563,605","Jun 14"
"184","Jexi","2,332","$6,546,159","Oct 11"
"185","Run the Race","1,075","$6,424,420","Feb 22"
"186","Once Upon a Deadpool2018 Re-release","1,566","$6,100,309","Dec 12"
"187","The Current War","1,082","$5,979,540","Oct 25"
"188","The Wandering Earth","129","$5,971,413","Feb 5"
"189","Captive State","2,549","$5,958,315","Mar 15"
"190","Arctic Dogs","2,844","$5,801,249","Nov 1"
"191","Gloria Bell","1,127","$5,611,123","Mar 8"
"192","Gully Boy","270","$5,566,534","Feb 14"
"193","Stan & Ollie","754","$5,470,235","Dec 28"
"194","The Goldfinch","2,542","$5,332,621","Sep 13"
"195","Don't Let Go","922","$5,215,062","Aug 30"
"196","Simmba","301","$5,102,129","Dec 28"
"197","The Mustang","527","$5,043,620","Mar 15"
"198","The Sun Is Also a Star","2,073","$4,950,029","May 17"
"199","Bring the Soul: The Movie","873","$4,809,800","Aug 7"
"200","Menteur","89","$4,697,364","Jul 12"
"201","Star Wars: Episode IX - The Rise of Skywalker","4,406","$515,202,542","Dec 20"
"202","Frozen II","4,440","$477,373,578","Nov 22"
"203","Joker","4,374","$335,451,311","Oct 4"
"204","Jumanji: The Next Level","4,227","$320,314,960","Dec 13"
"205","Coco","3,987","$210,460,015","Nov 22"
"206","Bad Boys for Life","3,775","$206,305,244","Jan 17"
"207","Knives Out","3,461","$165,363,234","Nov 27"
"208","1917","3,987","$159,227,644","Dec 25"
"209","Sonic the Hedgehog","4,198","$148,974,665","Feb 14"
"210","Once Upon a Time... in Hollywood","3,659","$142,502,728","Jul 26"
"211","Ford v Ferrari","3,746","$117,624,357","Nov 15"
"212","Maleficent: Mistress of Evil","3,820","$113,929,605","Oct 18"
"213","Little Women","3,308","$108,101,214","Dec 25"
"214","Hustlers","3,525","$104,963,598","Sep 13"
"215","The Addams Family","4,107","$100,044,905","Oct 11"
"216","Space Station 3D","64","$93,383,953","Apr 19"
"217","Alita: Battle Angel","3,802","$85,838,210","Feb 14"
"218","Birds of Prey","4,236","$84,158,461","Feb 7"
"219","Dolittle","4,155","$77,047,065","Jan 17"
"220","Zombieland: Double Tap","3,468","$73,123,082","Oct 18"
"221","The Invisible Man","3,636","$70,410,000","Feb 28"
"222","Spies in Disguise","3,502","$66,757,013","Dec 25"
"223","The Call of the Wild","3,914","$62,342,368","Feb 21"
"224","A Beautiful Day in the Neighborhood","3,491","$61,704,055","Nov 22"
"225","Onward","4,310","$61,555,145","Mar 6"
"226","Abominable","4,248","$60,716,390","Sep 27"
"227","The Croods: A New Age","2,211","$58,568,815","Nov 25"
"228","Tenet","2,930","$58,504,105","Sep 3"
"229","Midway","3,242","$56,846,802","Nov 8"
"230","Parasite","2,001","$53,369,749","Oct 11"
"231","Hubble","151","$52,522,904","Mar 19"
"232","Uncut Gems","2,686","$50,023,780","Dec 13"
"233","Wonder Woman 1984","2,218","$46,801,036","Dec 25"
"234","Deep Sea","47","$46,412,757","Mar 3"
"235","Playing with Fire","3,185","$44,451,847","Nov 8"
"236","Queen & Slim","1,715","$43,808,310","Nov 27"
"237","Harriet","2,186","$43,082,155","Nov 1"
"238","The Gentlemen","2,675","$36,471,795","Jan 24"
"239","Under the Sea 3D","108","$36,262,926","Feb 13"
"240","Just Mercy","2,457","$36,001,502","Dec 25"
"241","Last Christmas","3,454","$35,150,750","Nov 8"
"242","Jojo Rabbit","1,173","$33,370,906","Oct 18"
"243","Bombshell","1,721","$31,762,808","Dec 13"
"244","Doctor Sleep","3,855","$31,581,712","Nov 8"
"245","21 Bridges","2,665","$28,539,757","Nov 22"
"246","Fantasy Island","2,784","$27,309,289","Feb 14"
"247","Cats","3,380","$27,166,770","Dec 20"
"248","Born to Be Wild","208","$25,978,556","Apr 8"
"249","Countdown","2,675","$25,621,766","Oct 25"
"250","Judy","1,627","$24,313,888","Sep 27"
"251","The New Mutants","2,754","$23,852,659","Aug 28"
"252","Richard Jewell","2,502","$22,345,542","Dec 13"
"253","Like a Boss","3,081","$22,169,514","Jan 10"
"254","Black and Blue","2,062","$22,055,313","Oct 25"
"255","The War with Grandpa","2,365","$21,277,892","Oct 9"
"256","The Grudge","2,642","$21,221,803","Jan 3"
"257","Unhinged","2,402","$20,831,465","Aug 14"
"258","The Photograph","2,516","$20,578,185","Feb 14"
"259","Charlie's Angels","3,452","$17,803,077","Nov 15"
"260","Underwater","2,791","$17,291,078","Jan 10"
"261","The Good Liar","2,454","$17,156,058","Nov 15"
"262","A Beautiful Planet","155","$15,650,615","Apr 29"
"263","The Turning","2,571","$15,472,775","Jan 24"
"264","Gretel & Hansel","3,007","$15,347,654","Jan 31"
"265","Monster Hunter","1,817","$15,162,470","Dec 18"
"266","To the Arctic 3D","52","$14,560,838","Apr 20"
"267","Honest Thief","2,502","$14,163,574","Oct 9"
"268","My Hero Academia: Heroes Rising","1,231","$13,304,000","Feb 26"
"269","News of the World","1,986","$12,668,325","Dec 25"
"270","Brahms: The Boy II","2,151","$12,611,536","Feb 21"
"271","Bloodshot","2,861","$12,561,824","Mar 13"
"272","Island of Lemurs: Madagascar","302","$11,272,213","Apr 4"
"273","Dark Waters","2,112","$11,136,084","Nov 22"
"274","The Lighthouse","978","$10,867,104","Oct 18"
"275","Impractical Jokers: The Movie","1,900","$10,691,091","Feb 21"
"276","Come Play","2,183","$10,475,990","Oct 30"
"277","Black Christmas","2,625","$10,429,730","Dec 13"
"278","Emma.","1,732","$10,055,355","Feb 21"
"279","I Still Believe","3,250","$9,868,521","Mar 13"
"280","Let Him Go","2,458","$9,358,025","Nov 6"
"281","Freaky","2,472","$9,030,855","Nov 13"
"282","Downhill","2,311","$8,287,061","Feb 14"
"283","Weathering with You","1,020","$8,056,636","Jan 15"
"284","Promising Young Woman","1,448","$6,460,965","Dec 25"
"285","Fatale","1,222","$6,306,897","Dec 18"
"286","The Wandering Earth","129","$5,971,413","Feb 5"
"287","The Hunt","3,028","$5,812,500","Mar 13"
"288","The Rhythm Section","3,049","$5,437,971","Jan 31"
"289","Hocus Pocus2020 Re-release","2,570","$4,828,000","Oct 2"
"290","The SpongeBob Movie: Sponge on the Run","326","$4,810,790","Aug 14"
"291","Jay and Silent Bob Reboot","788","$4,589,490","Oct 15"
"292","Pain and Glory","266","$4,567,338","Oct 4"
"293","Linda Ronstadt: The Sound of My Voice","247","$4,252,657","Sep 6"
"294","The Broken Hearts Gallery","2,221","$4,067,442","Sep 11"
"295","Infidel","1,885","$4,051,990","Sep 18"
"296","Ip Man 4: The Finale","125","$3,956,031","Dec 25"
"297","Portrait of a Lady on Fire","334","$3,759,854","Dec 6"
"298","Bill & Ted Face the Music","1,007","$3,439,660","Aug 28"
"299","2020 Oscar Nominated Short Films","536","$3,306,611","Jan 31"
"300","Maiden","180","$3,168,978","Jun 28"
"301","Honey Boy","460","$3,012,615","Nov 8"
"302","The Empty Man","2,051","$2,992,948","Oct 23"
"303","My Boyfriend's Meds","350","$2,971,116","Feb 21"
"304","The Last Full Measure","617","$2,949,212","Jan 24"
"305","Words on Bathroom Walls","1,395","$2,542,518","Aug 21"
"306","Promare","701","$2,529,324","Sep 17"
"307","Star Wars: Episode V - The Empire Strikes Back2020 Re-release","2,097","$2,482,000","Jul 10"
"308","After We Collided","546","$2,386,483","Oct 23"
"309","The Nightmare Before Christmas2020 Re-release","2,194","$2,286,000","Oct 16"
"310","Half Brothers","1,386","$2,241,980","Dec 4"
"311","Elf2020 Re-release","850","$2,182,679","Nov 13"
"312","The Lodge","395","$2,138,907","Feb 7"
"313","The Personal History of David Copperfield","1,550","$1,876,298","Aug 28"
"314","Pinocchio","824","$1,831,718","Dec 25"
"315","The Wretched","101","$1,814,193","May 1"
"316","Fantastic Fungi","37","$1,788,322","Sep 20"
"317","A Hidden Life","151","$1,730,597","Dec 13"
"318","Waves","570","$1,658,790","Nov 15"
"319","The Rental","250","$1,637,548","Jul 24"
"320","Jurassic Park2020 Re-release","316","$1,386,600","Jun 19"
"321","2 Hearts","1,683","$1,349,286","Oct 16"
"322","No Safe Spaces","200","$1,291,514","Oct 25"
"323","Peninsula","151","$1,231,407","Aug 7"
"324","True to the Game 2","281","$1,200,871","Nov 6"
"325","Playmobil: The Movie","2,337","$1,115,008","Dec 6"
"326","The Assistant","25","$1,100,313","Jan 31"
"327","The Song of Names","182","$1,077,584","Dec 25"
"328","Merci pour tout","76","$1,073,969","Dec 25"
"329","Love and Monsters","387","$1,070,714","Oct 16"
"330","Relic","133","$1,047,083","Jul 3"
"331","The Tax Collector","138","$1,044,212","Aug 7"
"332","The Last Shift","886","$1,034,467","Sep 25"
"333","Becky","54","$1,004,574","Jun 5"
"334","All My Life","970","$913,935","Dec 4"
"335","Mafia Inc","85","$889,863","Feb 14"
"336","National Lampoon's Christmas Vacation2020 Re-release","620","$871,000","Nov 25"
"337","Cut Throat City","389","$855,894","Aug 21"
"338","The Goonies2020 Re-release","457","$825,000","Jul 10"
"339","Que Leones","3","$822,828","Dec 5"
"340","Sarileru Neekevvaru","300","$821,000","Jan 10"
"341","Honeyland","56","$815,082","Jul 26"
"342","Vanguard","1,375","$793,525","Nov 20"
"343","Color Out of Space","81","$765,561","Jan 24"
"344","Jaws2020 Re-release","187","$758,300","Jun 19"
"345","Possessor","320","$752,885","Oct 2"
"346","Toy Story2020 Re-release","2,102","$727,000","Nov 6"
"347","Monsters, Inc.2020 Re-release","1,875","$726,000","Oct 23"
"348","Baaghi 3","265","$721,439","Mar 6"
"349","The Polar Express2020 Re-release","450","$711,000","Dec 4"
"350","The Santa Clause2020 Re-release","1,581","$706,000","Nov 20"
"351","Patterns of Evidence: The Red Sea Miracle","807","$696,191","Feb 18"
"352","The Last Vermeer","912","$685,380","Nov 20"
"353","The Addams Family2020 Re-release","1,307","$678,926","Oct 23"
"354","100% Wolf","124","$658,764","Oct 9"
"355","Synchronic","327","$636,673","Oct 23"
"356","Neither Wolf Nor Dog","1","$606,511","Jan 20"
"357","Ghostbusters2020 Re-release","622","$605,000","Jul 3"
"358","Chhapaak","100","$604,334","Jan 10"
"359","Shortcut","704","$588,869","Sep 25"
"360","Panga","102","$582,720","Jan 24"
"361","Guardians of the Galaxy2020 Re-release","1,560","$542,000","Nov 13"
"362","Followed","100","$538,179","Jun 19"
"363","Alone","173","$537,589","Sep 18"
"364","Kajillionaire","547","$531,430","Sep 25"
"365","The Call","195","$516,521","Oct 2"
"366","The Big Ugly","68","$514,107","Jul 24"
"367","The Forgotten Carols","70","$502,252","Nov 20"
"368","Spell","369","$500,104","Oct 30"
"369","Ava","252","$497,747","Sep 25"
"370","63 Up","28","$483,684","Nov 27"
"371","The Grinch2020 Re-release","450","$473,781","Nov 27"
"372","Beauty and the Beast2020 Re-release","527","$467,000","Jul 17"
"373","Inside Out2020 Re-release","442","$460,000","Jul 10"
"374","Les Misérables: The Staged Concert","488","$459,478","Dec 6"
"375","Once Were Brothers","152","$449,561","Feb 21"
"376","Chal Mera Putt 2","0","$445,000","Mar 13"
"377","CatVideoFest 2020","84","$437,625","Feb 21"
"378","Seberg","373","$434,702","Feb 21"
"379","Iron Man2020 Re-release","462","$430,000","Jul 17"
"380","Infamous","58","$429,148","Jun 12"
"381","Killing Sarai","160","$425,332","Dec 6"
"382","How the Grinch Stole Christmas2020 Re-release","300","$420,180","Dec 4"
"383","Tulsa","192","$413,378","Aug 21"
"384","Stevie Nicks 24 Karat Gold the Concert","413","$410,265","Oct 21"
"385","Buddy Games","401","$405,904","Nov 20"
"386","She Dies Tomorrow","24","$398,663","Jul 31"
"387","Matthias & Maxime","53","$374,739","Oct 9"
"388","The Eight Hundred","142","$372,755","Aug 28"
"389","Ashfall","18","$372,562","Dec 19"
"390","Yellow Rose","900","$367,849","Oct 9"
"391","Black Panther2020 Re-release","421","$367,000","Jul 10"
"392","Clemency","127","$364,716","Dec 27"
"393","The Kid Detective","865","$364,138","Oct 16"
"394","Greed","596","$355,308","Feb 28"
"395","Ride Your Wave","605","$332,432","Feb 19"
"396","Les Misérables","69","$330,181","Jan 10"
"397","Die Hard2020 Re-release","1,172","$325,000","Dec 4"
"398","Ordinary Love","22","$323,688","Feb 14"
"399","Aquarela","69","$307,346","Aug 16"
"400","Spider-Man: No Way Home","4,336","$804,793,477","Dec 17"
"401","Shang-Chi and the Legend of the Ten Rings","4,300","$224,543,292","Sep 3"
"402","Venom: Let There Be Carnage","4,225","$213,550,366","Oct 1"
"403","Black Widow","4,275","$183,651,655","Jul 9"
